FID,OBJECTID,HIFLD_FACILITYID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,SECURELVL,CAPACITY,Shape_Leng,SHAPE_Length,SHAPE_Area
14,9,10005350,CENTRAL JAIL COMPLEX,550 NORTH FLOWER STREET,SANTA ANA,CA,92702,NOT AVAILABLE,(409) 883-1026,COUNTY,OPEN,1471,ORANGE,6059,USA,922140,CORRECTIONAL INSTITUTIONS,"http://www.bscc.ca.gov/s_fsojailprofilesurvey.php, http://www.ocsd.org/divisions/custody",2/12/18,IMAGERY,2/12/18 0:00,http://www.ocsd.org/divisions/custody,MAXIMUM,1813,0.006757022,805.4956,2.30E-06
37,32,10005349,JAMES A MUSICK FACILITY,13502 MUSICK RD,IRVINE,CA,92618,NOT AVAILABLE,(949) 855-2600,COUNTY,OPEN,614,ORANGE,6059,USA,922140,CORRECTIONAL INSTITUTIONS,"http://www.bscc.ca.gov/s_fsojailprofilesurvey.php, http://www.ocsd.org/divisions/custody",2/12/18,IMAGERY,2/12/18 0:00,http://www.ocsd.org/divisions/custody,MINIMUM,1322,0.010511917,1266.488725,3.06E-06
46,41,10005346,THEO LACY FACILITY,501 THE CITY DRIVE SOUTH,ORANGE,CA,92868,NOT AVAILABLE,(714) 935-6940,COUNTY,OPEN,3249,ORANGE,6059,USA,922140,CORRECTIONAL INSTITUTIONS,"http://www.bscc.ca.gov/s_fsojailprofilesurvey.php, http://www.ocsd.org/divisions/custody",2/12/18,IMAGERY,2/12/18 0:00,http://www.ocsd.org/divisions/custody,MAXIMUM,3442,0.009036479,1092.412377,4.63E-06
52,47,10005347,ORANGE COUNTY JUVENILE HALL,331 THE CITY DRIVE,ORANGE,CA,92868,NOT AVAILABLE,(714) 935-6660,COUNTY,OPEN,-999,ORANGE,6059,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.ocgov.com/gov/probation/contact/institutions,2/12/18,IMAGERY,2/12/18 0:00,http://www.ocgov.com/gov/probation/contact/institutions,JUVENILE,434,0.010370573,1252.077093,5.03E-06
56,51,10005351,YOUTH LEADERSHIP ACADEMY,3155 WEST JUSTICE CENTER WAY,ORANGE,CA,92868,NOT AVAILABLE,(714) 935-7099,COUNTY,OPEN,-999,ORANGE,6059,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.ocgov.com/gov/probation/contact/institutions,2/12/18,IMAGERY,2/12/18 0:00,http://www.ocgov.com/gov/probation/contact/institutions,JUVENILE,120,0.002789002,325.0021381,3.45E-07
63,58,10005348,JOPLIN YOUTH CENTER,19480 ROSE CANYON ROAD,TRABUCO CANYON,CA,92678,NOT AVAILABLE,(949) 635-2600,COUNTY,OPEN,-999,ORANGE,6059,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.ocgov.com/gov/probation/contact/institutions,2/12/18,IMAGERY,2/12/18 0:00,http://www.ocgov.com/gov/probation/contact/institutions,JUVENILE,64,0.003453848,416.5056589,7.25E-07
66,61,10005345,YOUTH GUIDANCE CENTER,3030 NORTH HESPERIAN WAY,SANTA ANA,CA,92706,NOT AVAILABLE,(714) 836-2700,COUNTY,OPEN,-999,ORANGE,6059,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.ocgov.com/gov/probation/contact/institutions,2/12/18,IMAGERY,2/12/18 0:00,http://www.ocgov.com/gov/probation/contact/institutions,JUVENILE,80,0.003631666,438.3685238,5.13E-07
88,83,10006706,SOUTH PLACER JAIL,11801 GO FOR BROKE ROAD,ROSEVILLE,CA,95678,NOT AVAILABLE,(916) 409-8100,COUNTY,OPEN,389,PLACER,6061,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.bscc.ca.gov/s_fsojailprofilesurvey.php,2/12/18,IMAGERY,2/12/18 0:00,https://www.placer.ca.gov/departments/Sheriff/Corrections,NOT AVAILABLE,-999,0.011761226,1518.46766,5.24E-06
97,92,10005269,PLUMAS COUNTY CORRECTIONAL FACILITY,50 ABERNATHY LANE,QUINCY,CA,95971,NOT AVAILABLE,(530) 283-6267,COUNTY,OPEN,51,PLUMAS,6063,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.bscc.ca.gov/s_fsojailprofilesurvey.php,2/12/18,IMAGERY,2/12/18 0:00,http://www.countyofplumas.com/index.aspx?NID=587,NOT AVAILABLE,-999,0.003159958,388.3934459,5.81E-07
100,95,10005344,SOUTHWEST JUVENILE HALL,30755-C AULD ROAD,MURRIETA,CA,92563,NOT AVAILABLE,(951) 600-6750,COUNTY,OPEN,-999,RIVERSIDE,6065,USA,922140,CORRECTIONAL INSTITUTIONS,http://rcprob.us/index.html,2/12/18,IMAGERY,2/12/18 0:00,http://rcprob.us/index.html,JUVENILE,99,0.005330462,658.35919,1.03E-06
101,96,10000862,RIVERSIDE COUNTY INDIO JAIL,46057 OASIS STREET,INDIO,CA,92201,NOT AVAILABLE,(760) 863-8252,COUNTY,OPEN,364,RIVERSIDE,6065,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.bscc.ca.gov/s_fsojailprofilesurvey.php,2/12/18,IMAGERY,2/12/18 0:00,http://www.riversidesheriff.org/corrections/,NOT AVAILABLE,-999,0.004898664,588.6719657,9.96E-07
