"","review_needed","review_completed_by_initials","reviewed_date","error_type","coder_inititals","date_coded","match_status","searched_FRS_manually.","multiple.FRS.IDs.","Total_FRS_IDS","additional.FRS.IDs","Additional_Trimmed_formula","Additional_Trimmed_Value","manual_FRS_id","FRS_query_link","FRS_search_link","google_search_link","FRS_search","google_search","HIFLD_FACILITYID","Comments","FID","OBJECTID","NAME","ADDRESS","CITY","STATE","ZIP","ZIP4","TELEPHONE","TYPE","STATUS","POPULATION","COUNTY","COUNTYFIPS","COUNTRY","NAICS_CODE","NAICS_DESC","SOURCE","SOURCEDATE","VAL_METHOD","VAL_DATE","WEBSITE","SECURELVL","CAPACITY","Shape_Leng","SHAPE_Length","SHAPE_Area"
"1","","","","","ST","1/12","match","yes","yes","110065973897","110065973897, 110051136347","110065973897,110051136347","110065973897,110051136347",110066584191,"https://ofmpub.epa.gov/frs_public2/fii_map_master.fii_retrieve?fac_search=primary_name&fac_value=&fac_search_type=Containing&postal_code=&location_address=&add_search_type=B&city_name=&county_name=DEL%20NORTE&state_code=CA&epa_region_code=&cong_dist=&legis_dist=&huc_code=&fed_agency=&TribalLand=0&selectTribe=noselect&sic_type=Equal+to&sic_code_to=&naic_type=Equal+to&naic_to=&org_name=&duns_num=&contact_name=&prog_search=&int_search=&search_type=&search_type=all&all_programs=YES&sysname=&page_no=1&output_sql_switch=TRUE&report=1&database_type=FII&tribal_ind=&last_facility=&univ_search=&fac_search_term=&tribetype=&triballand=&selecttribe=&tribedistance1=#TOP","#N/A","https://www.google.com/search?q=ALDER%20CONSERVATION%20CAMP%20#20+KLAMATH+CA","https://ofmpub.epa.gov/frs_public2/fii_map_master.fii_retrieve?fac_search=primary_name&fac_value=&fac_search_type=Containing&postal_code=&location_address=&add_search_type=B&city_name=&county_name=DEL%20NORTE&state_code=CA&epa_region_code=&cong_dist=&legis_dist=&huc_code=&fed_agency=&TribalLand=0&selectTribe=noselect&sic_type=Equal+to&sic_code_to=&naic_type=Equal+to&naic_to=&org_name=&duns_num=&contact_name=&prog_search=&int_search=&search_type=&search_type=all&all_programs=YES&sysname=&page_no=1&output_sql_switch=TRUE&report=1&database_type=FII&tribal_ind=&last_facility=&univ_search=&fac_search_term=&tribetype=&triballand=&selecttribe=&tribedistance1=#TOP","https://www.google.com/search?q=ALDER%20CONSERVATION%20CAMP%20#20+KLAMATH+CA",10000771,"",6675,6371,"ALDER CONSERVATION CAMP #20","1400 ALDER CAMP ROAD","KLAMATH","CA",95548,"NOT AVAILABLE","(707) 482-4511","STATE","OPEN",109,"DEL NORTE",6015,"USA",922140,"CORRECTIONAL INSTITUTIONS","http://www.cdcr.ca.gov/Conservation_Camps/","10/25/17","IMAGERY","10/25/17 0:00","http://www.cdcr.ca.gov/Conservation_Camps/","MINIMUM",109,0.008964252,1059.455473,3.01e-06
"2","","","","","ST","1/12","match","yes","yes","110051136347","110065973897, 110051136347","110065973897,110051136347","110065973897,110051136347",110066584191,"https://ofmpub.epa.gov/frs_public2/fii_map_master.fii_retrieve?fac_search=primary_name&fac_value=&fac_search_type=Containing&postal_code=&location_address=&add_search_type=B&city_name=&county_name=DEL%20NORTE&state_code=CA&epa_region_code=&cong_dist=&legis_dist=&huc_code=&fed_agency=&TribalLand=0&selectTribe=noselect&sic_type=Equal+to&sic_code_to=&naic_type=Equal+to&naic_to=&org_name=&duns_num=&contact_name=&prog_search=&int_search=&search_type=&search_type=all&all_programs=YES&sysname=&page_no=1&output_sql_switch=TRUE&report=1&database_type=FII&tribal_ind=&last_facility=&univ_search=&fac_search_term=&tribetype=&triballand=&selecttribe=&tribedistance1=#TOP","#N/A","https://www.google.com/search?q=ALDER%20CONSERVATION%20CAMP%20#20+KLAMATH+CA","https://ofmpub.epa.gov/frs_public2/fii_map_master.fii_retrieve?fac_search=primary_name&fac_value=&fac_search_type=Containing&postal_code=&location_address=&add_search_type=B&city_name=&county_name=DEL%20NORTE&state_code=CA&epa_region_code=&cong_dist=&legis_dist=&huc_code=&fed_agency=&TribalLand=0&selectTribe=noselect&sic_type=Equal+to&sic_code_to=&naic_type=Equal+to&naic_to=&org_name=&duns_num=&contact_name=&prog_search=&int_search=&search_type=&search_type=all&all_programs=YES&sysname=&page_no=1&output_sql_switch=TRUE&report=1&database_type=FII&tribal_ind=&last_facility=&univ_search=&fac_search_term=&tribetype=&triballand=&selecttribe=&tribedistance1=#TOP","https://www.google.com/search?q=ALDER%20CONSERVATION%20CAMP%20#20+KLAMATH+CA",10000771,"",6675,6371,"ALDER CONSERVATION CAMP #20","1400 ALDER CAMP ROAD","KLAMATH","CA",95548,"NOT AVAILABLE","(707) 482-4511","STATE","OPEN",109,"DEL NORTE",6015,"USA",922140,"CORRECTIONAL INSTITUTIONS","http://www.cdcr.ca.gov/Conservation_Camps/","10/25/17","IMAGERY","10/25/17 0:00","http://www.cdcr.ca.gov/Conservation_Camps/","MINIMUM",109,0.008964252,1059.455473,3.01e-06
"3","","","","","ST","1/12","match","yes","yes","110066584191","110065973897, 110051136347","110065973897,110051136347","110065973897,110051136347",110066584191,"https://ofmpub.epa.gov/frs_public2/fii_map_master.fii_retrieve?fac_search=primary_name&fac_value=&fac_search_type=Containing&postal_code=&location_address=&add_search_type=B&city_name=&county_name=DEL%20NORTE&state_code=CA&epa_region_code=&cong_dist=&legis_dist=&huc_code=&fed_agency=&TribalLand=0&selectTribe=noselect&sic_type=Equal+to&sic_code_to=&naic_type=Equal+to&naic_to=&org_name=&duns_num=&contact_name=&prog_search=&int_search=&search_type=&search_type=all&all_programs=YES&sysname=&page_no=1&output_sql_switch=TRUE&report=1&database_type=FII&tribal_ind=&last_facility=&univ_search=&fac_search_term=&tribetype=&triballand=&selecttribe=&tribedistance1=#TOP","#N/A","https://www.google.com/search?q=ALDER%20CONSERVATION%20CAMP%20#20+KLAMATH+CA","https://ofmpub.epa.gov/frs_public2/fii_map_master.fii_retrieve?fac_search=primary_name&fac_value=&fac_search_type=Containing&postal_code=&location_address=&add_search_type=B&city_name=&county_name=DEL%20NORTE&state_code=CA&epa_region_code=&cong_dist=&legis_dist=&huc_code=&fed_agency=&TribalLand=0&selectTribe=noselect&sic_type=Equal+to&sic_code_to=&naic_type=Equal+to&naic_to=&org_name=&duns_num=&contact_name=&prog_search=&int_search=&search_type=&search_type=all&all_programs=YES&sysname=&page_no=1&output_sql_switch=TRUE&report=1&database_type=FII&tribal_ind=&last_facility=&univ_search=&fac_search_term=&tribetype=&triballand=&selecttribe=&tribedistance1=#TOP","https://www.google.com/search?q=ALDER%20CONSERVATION%20CAMP%20#20+KLAMATH+CA",10000771,"",6675,6371,"ALDER CONSERVATION CAMP #20","1400 ALDER CAMP ROAD","KLAMATH","CA",95548,"NOT AVAILABLE","(707) 482-4511","STATE","OPEN",109,"DEL NORTE",6015,"USA",922140,"CORRECTIONAL INSTITUTIONS","http://www.cdcr.ca.gov/Conservation_Camps/","10/25/17","IMAGERY","10/25/17 0:00","http://www.cdcr.ca.gov/Conservation_Camps/","MINIMUM",109,0.008964252,1059.455473,3.01e-06
"4","","","","","ST","1/12","match","yes","no","110043671336","","","",110043671336,"https://ofmpub.epa.gov/frs_public2/fii_map_master.fii_retrieve?fac_search=primary_name&fac_value=&fac_search_type=Containing&postal_code=&location_address=&add_search_type=B&city_name=&county_name=LASSEN&state_code=CA&epa_region_code=&cong_dist=&legis_dist=&huc_code=&fed_agency=&TribalLand=0&selectTribe=noselect&sic_type=Equal+to&sic_code_to=&naic_type=Equal+to&naic_to=&org_name=&duns_num=&contact_name=&prog_search=&int_search=&search_type=&search_type=all&all_programs=YES&sysname=&page_no=1&output_sql_switch=TRUE&report=1&database_type=FII&tribal_ind=&last_facility=&univ_search=&fac_search_term=&tribetype=&triballand=&selecttribe=&tribedistance1=#TOP","#N/A","https://www.google.com/search?q=HERLONG%20FCI+HERLONG+CA","https://ofmpub.epa.gov/frs_public2/fii_map_master.fii_retrieve?fac_search=primary_name&fac_value=&fac_search_type=Containing&postal_code=&location_address=&add_search_type=B&city_name=&county_name=LASSEN&state_code=CA&epa_region_code=&cong_dist=&legis_dist=&huc_code=&fed_agency=&TribalLand=0&selectTribe=noselect&sic_type=Equal+to&sic_code_to=&naic_type=Equal+to&naic_to=&org_name=&duns_num=&contact_name=&prog_search=&int_search=&search_type=&search_type=all&all_programs=YES&sysname=&page_no=1&output_sql_switch=TRUE&report=1&database_type=FII&tribal_ind=&last_facility=&univ_search=&fac_search_term=&tribetype=&triballand=&selecttribe=&tribedistance1=#TOP","https://www.google.com/search?q=HERLONG%20FCI+HERLONG+CA",10000772,"",4454,4041,"HERLONG FCI","741-925 ACCESS RD A-25","HERLONG","CA",96113,"NOT AVAILABLE","(530) 827-8000","FEDERAL","OPEN",898,"LASSEN",6035,"USA",922140,"CORRECTIONAL INSTITUTIONS","http://www.bop.gov/about/statistics/population_statistics.jsp, http://jayhurst.net/wp-content/uploads/2013/09/16-0216_Capacities_PP80_population_report.pdf","2/16/16","IMAGERY","9/29/17 0:00","https://www.bop.gov/locations/","MEDIUM",1152,0.018473808,2420.176813,2.16e-05
"5","","","","","ST","1/14","match","yes","yes","110066418996","110066418996","110066418996","110066418996",110065217081,"https://ofmpub.epa.gov/frs_public2/fii_map_master.fii_retrieve?fac_search=primary_name&fac_value=&fac_search_type=Containing&postal_code=&location_address=&add_search_type=B&city_name=&county_name=LASSEN&state_code=CA&epa_region_code=&cong_dist=&legis_dist=&huc_code=&fed_agency=&TribalLand=0&selectTribe=noselect&sic_type=Equal+to&sic_code_to=&naic_type=Equal+to&naic_to=&org_name=&duns_num=&contact_name=&prog_search=&int_search=&search_type=&search_type=all&all_programs=YES&sysname=&page_no=1&output_sql_switch=TRUE&report=1&database_type=FII&tribal_ind=&last_facility=&univ_search=&fac_search_term=&tribetype=&triballand=&selecttribe=&tribedistance1=#TOP","#N/A","https://www.google.com/search?q=CALIFORNIA%20CORRECTIONAL%20CENTER%20(CCC)+SUSANVILLE+CA","https://ofmpub.epa.gov/frs_public2/fii_map_master.fii_retrieve?fac_search=primary_name&fac_value=&fac_search_type=Containing&postal_code=&location_address=&add_search_type=B&city_name=&county_name=LASSEN&state_code=CA&epa_region_code=&cong_dist=&legis_dist=&huc_code=&fed_agency=&TribalLand=0&selectTribe=noselect&sic_type=Equal+to&sic_code_to=&naic_type=Equal+to&naic_to=&org_name=&duns_num=&contact_name=&prog_search=&int_search=&search_type=&search_type=all&all_programs=YES&sysname=&page_no=1&output_sql_switch=TRUE&report=1&database_type=FII&tribal_ind=&last_facility=&univ_search=&fac_search_term=&tribetype=&triballand=&selecttribe=&tribedistance1=#TOP","https://www.google.com/search?q=CALIFORNIA%20CORRECTIONAL%20CENTER%20(CCC)+SUSANVILLE+CA",10000773,"",6648,6344,"CALIFORNIA CORRECTIONAL CENTER (CCC)","711-045 CENTER ROAD","SUSANVILLE","CA",96127,"790","(530) 257-2181","STATE","OPEN",4336,"LASSEN",6035,"USA",922140,"CORRECTIONAL INSTITUTIONS","http://www.cdcr.ca.gov/Reports_Research/Offender_Information_Services_Branch/Population_Reports.html","10/18/17","IMAGERY","10/24/17 0:00","http://www.cdcr.ca.gov/Facilities_Locator/","MEDIUM",3883,0.026158849,3295.771723,1.86e-05
"6","","","","","ST","1/14","match","yes","yes","110065217081","110066418996","110066418996","110066418996",110065217081,"https://ofmpub.epa.gov/frs_public2/fii_map_master.fii_retrieve?fac_search=primary_name&fac_value=&fac_search_type=Containing&postal_code=&location_address=&add_search_type=B&city_name=&county_name=LASSEN&state_code=CA&epa_region_code=&cong_dist=&legis_dist=&huc_code=&fed_agency=&TribalLand=0&selectTribe=noselect&sic_type=Equal+to&sic_code_to=&naic_type=Equal+to&naic_to=&org_name=&duns_num=&contact_name=&prog_search=&int_search=&search_type=&search_type=all&all_programs=YES&sysname=&page_no=1&output_sql_switch=TRUE&report=1&database_type=FII&tribal_ind=&last_facility=&univ_search=&fac_search_term=&tribetype=&triballand=&selecttribe=&tribedistance1=#TOP","#N/A","https://www.google.com/search?q=CALIFORNIA%20CORRECTIONAL%20CENTER%20(CCC)+SUSANVILLE+CA","https://ofmpub.epa.gov/frs_public2/fii_map_master.fii_retrieve?fac_search=primary_name&fac_value=&fac_search_type=Containing&postal_code=&location_address=&add_search_type=B&city_name=&county_name=LASSEN&state_code=CA&epa_region_code=&cong_dist=&legis_dist=&huc_code=&fed_agency=&TribalLand=0&selectTribe=noselect&sic_type=Equal+to&sic_code_to=&naic_type=Equal+to&naic_to=&org_name=&duns_num=&contact_name=&prog_search=&int_search=&search_type=&search_type=all&all_programs=YES&sysname=&page_no=1&output_sql_switch=TRUE&report=1&database_type=FII&tribal_ind=&last_facility=&univ_search=&fac_search_term=&tribetype=&triballand=&selecttribe=&tribedistance1=#TOP","https://www.google.com/search?q=CALIFORNIA%20CORRECTIONAL%20CENTER%20(CCC)+SUSANVILLE+CA",10000773,"",6648,6344,"CALIFORNIA CORRECTIONAL CENTER (CCC)","711-045 CENTER ROAD","SUSANVILLE","CA",96127,"790","(530) 257-2181","STATE","OPEN",4336,"LASSEN",6035,"USA",922140,"CORRECTIONAL INSTITUTIONS","http://www.cdcr.ca.gov/Reports_Research/Offender_Information_Services_Branch/Population_Reports.html","10/18/17","IMAGERY","10/24/17 0:00","http://www.cdcr.ca.gov/Facilities_Locator/","MEDIUM",3883,0.026158849,3295.771723,1.86e-05
"7","","","","","ST","1/14","match","yes","yes","110066464668","110066464668, 110055905472, 110051147521","110066464668,110055905472,110051147521","110066464668,110055905472,110051147521",110066592262,"https://ofmpub.epa.gov/frs_public2/fii_map_master.fii_retrieve?fac_search=primary_name&fac_value=&fac_search_type=Containing&postal_code=&location_address=&add_search_type=B&city_name=&county_name=LASSEN&state_code=CA&epa_region_code=&cong_dist=&legis_dist=&huc_code=&fed_agency=&TribalLand=0&selectTribe=noselect&sic_type=Equal+to&sic_code_to=&naic_type=Equal+to&naic_to=&org_name=&duns_num=&contact_name=&prog_search=&int_search=&search_type=&search_type=all&all_programs=YES&sysname=&page_no=1&output_sql_switch=TRUE&report=1&database_type=FII&tribal_ind=&last_facility=&univ_search=&fac_search_term=&tribetype=&triballand=&selecttribe=&tribedistance1=#TOP","#N/A","https://www.google.com/search?q=INTERMOUNTAIN%20CONSERVATION%20CAMP%20#22+BIEBER+CA","https://ofmpub.epa.gov/frs_public2/fii_map_master.fii_retrieve?fac_search=primary_name&fac_value=&fac_search_type=Containing&postal_code=&location_address=&add_search_type=B&city_name=&county_name=LASSEN&state_code=CA&epa_region_code=&cong_dist=&legis_dist=&huc_code=&fed_agency=&TribalLand=0&selectTribe=noselect&sic_type=Equal+to&sic_code_to=&naic_type=Equal+to&naic_to=&org_name=&duns_num=&contact_name=&prog_search=&int_search=&search_type=&search_type=all&all_programs=YES&sysname=&page_no=1&output_sql_switch=TRUE&report=1&database_type=FII&tribal_ind=&last_facility=&univ_search=&fac_search_term=&tribetype=&triballand=&selecttribe=&tribedistance1=#TOP","https://www.google.com/search?q=INTERMOUNTAIN%20CONSERVATION%20CAMP%20#22+BIEBER+CA",10000774,"",6692,6388,"INTERMOUNTAIN CONSERVATION CAMP #22","651-025 FOOTHILL RD","BIEBER","CA",96009,"NOT AVAILABLE","(530) 294-5361","STATE","OPEN",70,"LASSEN",6035,"USA",922140,"CORRECTIONAL INSTITUTIONS","http://www.cdcr.ca.gov/Conservation_Camps/","5/25/16","IMAGERY","10/25/17 0:00","http://www.cdcr.ca.gov/Conservation_Camps/","MINIMUM",-999,0.006879377,911.7870701,3.34e-06
"8","","","","","ST","1/14","match","yes","yes","110055905472","110066464668, 110055905472, 110051147521","110066464668,110055905472,110051147521","110066464668,110055905472,110051147521",110066592262,"https://ofmpub.epa.gov/frs_public2/fii_map_master.fii_retrieve?fac_search=primary_name&fac_value=&fac_search_type=Containing&postal_code=&location_address=&add_search_type=B&city_name=&county_name=LASSEN&state_code=CA&epa_region_code=&cong_dist=&legis_dist=&huc_code=&fed_agency=&TribalLand=0&selectTribe=noselect&sic_type=Equal+to&sic_code_to=&naic_type=Equal+to&naic_to=&org_name=&duns_num=&contact_name=&prog_search=&int_search=&search_type=&search_type=all&all_programs=YES&sysname=&page_no=1&output_sql_switch=TRUE&report=1&database_type=FII&tribal_ind=&last_facility=&univ_search=&fac_search_term=&tribetype=&triballand=&selecttribe=&tribedistance1=#TOP","#N/A","https://www.google.com/search?q=INTERMOUNTAIN%20CONSERVATION%20CAMP%20#22+BIEBER+CA","https://ofmpub.epa.gov/frs_public2/fii_map_master.fii_retrieve?fac_search=primary_name&fac_value=&fac_search_type=Containing&postal_code=&location_address=&add_search_type=B&city_name=&county_name=LASSEN&state_code=CA&epa_region_code=&cong_dist=&legis_dist=&huc_code=&fed_agency=&TribalLand=0&selectTribe=noselect&sic_type=Equal+to&sic_code_to=&naic_type=Equal+to&naic_to=&org_name=&duns_num=&contact_name=&prog_search=&int_search=&search_type=&search_type=all&all_programs=YES&sysname=&page_no=1&output_sql_switch=TRUE&report=1&database_type=FII&tribal_ind=&last_facility=&univ_search=&fac_search_term=&tribetype=&triballand=&selecttribe=&tribedistance1=#TOP","https://www.google.com/search?q=INTERMOUNTAIN%20CONSERVATION%20CAMP%20#22+BIEBER+CA",10000774,"",6692,6388,"INTERMOUNTAIN CONSERVATION CAMP #22","651-025 FOOTHILL RD","BIEBER","CA",96009,"NOT AVAILABLE","(530) 294-5361","STATE","OPEN",70,"LASSEN",6035,"USA",922140,"CORRECTIONAL INSTITUTIONS","http://www.cdcr.ca.gov/Conservation_Camps/","5/25/16","IMAGERY","10/25/17 0:00","http://www.cdcr.ca.gov/Conservation_Camps/","MINIMUM",-999,0.006879377,911.7870701,3.34e-06
"9","","","","","ST","1/14","match","yes","yes","110051147521","110066464668, 110055905472, 110051147521","110066464668,110055905472,110051147521","110066464668,110055905472,110051147521",110066592262,"https://ofmpub.epa.gov/frs_public2/fii_map_master.fii_retrieve?fac_search=primary_name&fac_value=&fac_search_type=Containing&postal_code=&location_address=&add_search_type=B&city_name=&county_name=LASSEN&state_code=CA&epa_region_code=&cong_dist=&legis_dist=&huc_code=&fed_agency=&TribalLand=0&selectTribe=noselect&sic_type=Equal+to&sic_code_to=&naic_type=Equal+to&naic_to=&org_name=&duns_num=&contact_name=&prog_search=&int_search=&search_type=&search_type=all&all_programs=YES&sysname=&page_no=1&output_sql_switch=TRUE&report=1&database_type=FII&tribal_ind=&last_facility=&univ_search=&fac_search_term=&tribetype=&triballand=&selecttribe=&tribedistance1=#TOP","#N/A","https://www.google.com/search?q=INTERMOUNTAIN%20CONSERVATION%20CAMP%20#22+BIEBER+CA","https://ofmpub.epa.gov/frs_public2/fii_map_master.fii_retrieve?fac_search=primary_name&fac_value=&fac_search_type=Containing&postal_code=&location_address=&add_search_type=B&city_name=&county_name=LASSEN&state_code=CA&epa_region_code=&cong_dist=&legis_dist=&huc_code=&fed_agency=&TribalLand=0&selectTribe=noselect&sic_type=Equal+to&sic_code_to=&naic_type=Equal+to&naic_to=&org_name=&duns_num=&contact_name=&prog_search=&int_search=&search_type=&search_type=all&all_programs=YES&sysname=&page_no=1&output_sql_switch=TRUE&report=1&database_type=FII&tribal_ind=&last_facility=&univ_search=&fac_search_term=&tribetype=&triballand=&selecttribe=&tribedistance1=#TOP","https://www.google.com/search?q=INTERMOUNTAIN%20CONSERVATION%20CAMP%20#22+BIEBER+CA",10000774,"",6692,6388,"INTERMOUNTAIN CONSERVATION CAMP #22","651-025 FOOTHILL RD","BIEBER","CA",96009,"NOT AVAILABLE","(530) 294-5361","STATE","OPEN",70,"LASSEN",6035,"USA",922140,"CORRECTIONAL INSTITUTIONS","http://www.cdcr.ca.gov/Conservation_Camps/","5/25/16","IMAGERY","10/25/17 0:00","http://www.cdcr.ca.gov/Conservation_Camps/","MINIMUM",-999,0.006879377,911.7870701,3.34e-06
"10","","","","","ST","1/14","match","yes","yes","110066592262","110066464668, 110055905472, 110051147521","110066464668,110055905472,110051147521","110066464668,110055905472,110051147521",110066592262,"https://ofmpub.epa.gov/frs_public2/fii_map_master.fii_retrieve?fac_search=primary_name&fac_value=&fac_search_type=Containing&postal_code=&location_address=&add_search_type=B&city_name=&county_name=LASSEN&state_code=CA&epa_region_code=&cong_dist=&legis_dist=&huc_code=&fed_agency=&TribalLand=0&selectTribe=noselect&sic_type=Equal+to&sic_code_to=&naic_type=Equal+to&naic_to=&org_name=&duns_num=&contact_name=&prog_search=&int_search=&search_type=&search_type=all&all_programs=YES&sysname=&page_no=1&output_sql_switch=TRUE&report=1&database_type=FII&tribal_ind=&last_facility=&univ_search=&fac_search_term=&tribetype=&triballand=&selecttribe=&tribedistance1=#TOP","#N/A","https://www.google.com/search?q=INTERMOUNTAIN%20CONSERVATION%20CAMP%20#22+BIEBER+CA","https://ofmpub.epa.gov/frs_public2/fii_map_master.fii_retrieve?fac_search=primary_name&fac_value=&fac_search_type=Containing&postal_code=&location_address=&add_search_type=B&city_name=&county_name=LASSEN&state_code=CA&epa_region_code=&cong_dist=&legis_dist=&huc_code=&fed_agency=&TribalLand=0&selectTribe=noselect&sic_type=Equal+to&sic_code_to=&naic_type=Equal+to&naic_to=&org_name=&duns_num=&contact_name=&prog_search=&int_search=&search_type=&search_type=all&all_programs=YES&sysname=&page_no=1&output_sql_switch=TRUE&report=1&database_type=FII&tribal_ind=&last_facility=&univ_search=&fac_search_term=&tribetype=&triballand=&selecttribe=&tribedistance1=#TOP","https://www.google.com/search?q=INTERMOUNTAIN%20CONSERVATION%20CAMP%20#22+BIEBER+CA",10000774,"",6692,6388,"INTERMOUNTAIN CONSERVATION CAMP #22","651-025 FOOTHILL RD","BIEBER","CA",96009,"NOT AVAILABLE","(530) 294-5361","STATE","OPEN",70,"LASSEN",6035,"USA",922140,"CORRECTIONAL INSTITUTIONS","http://www.cdcr.ca.gov/Conservation_Camps/","5/25/16","IMAGERY","10/25/17 0:00","http://www.cdcr.ca.gov/Conservation_Camps/","MINIMUM",-999,0.006879377,911.7870701,3.34e-06
